title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Slaine,01/01/2002,,Titan,,10388189,1840234164,1,"Celts / Comic books, strips, etc. / Fiction.",,89110,,,
The King.,01/01/2014,,,,16300190,9.78E+12,1,"Celts / Comic books, strips, etc. / Fiction.",,89112,,,
From Mafalda to Los Supermachos :Latin American graphic humor as popular culture,01/01/1989,,Lynne Rienner,,10132907,1555871410,1,Central America,,89113,,,
Tex the cowboy,01/01/1997,,Red Fox,,10661283,99267012,1,"Children's stories, English.",,90052,,,
Marwe :into the land of the dead : an East African legend,01/01/2011,,Lerner,,15630110,9.78E+12,1,"Chaga (African people) / Comic books, strips, etc. / Juvenile fiction.",,89115,,,
How to draw chalk cartoons,01/01/1982,,Supreme Magic,,11632983,,1,Chalk cartoons,,89116,,,
Transformers :the ultimate guide,01/01/2007,,Dorling Kindersley,,13683801,9.78E+12,1,Character toys / Juvenile literature.,,89118,,,
The encyclopedia of superheroes,01/01/1985,,Facts on File,,7416853,816011680,1,Characters,,89121,,,
Encyclopedia of comic characters :over 1200 characters,01/01/1987,,Longman,,10703412,582892945,1,Characters,,89124,,,
"Alive character design :for game, animation and film : character design course by Haitao Su",01/01/2011,,CYPI,,16016974,9.78E+12,1,Characters and characteristics in art.,,89132,,,
1 2 3 4 :(wordless diagrams),01/01/2005,,Duckworth,,13080279,715633953,1,"Charts, diagrams, etc.",,89134,,,
Arthur the legend,01/01/2010,,Dalen,,15557573,9.78E+12,1,"Chauvel, David / Translations into English.",,89135,,,
Chechen guerilla,01/01/2009,,Cinebook,,15109841,9.78E+12,1,"Chechens / Comic books, strips, etc. / Fiction.",,89136,,,
Jackie Chan adventures.,01/01/2003,,Eaglemoss International,,12089238,,1,"Cheng, Long / 1954- / Comic books, strips, etc. / Periodicals.",,89137,,,
The recruit :the graphic novel,01/01/2012,,Hodder Children's,,16072870,9.78E+12,1,"CHERUB (Imaginary organization) / Comic books, strips, etc.",,89138,,,
Rumberley,01/01/2012,,Cinebook,,15904395,9.78E+12,1,"Chesterfield, Cornelius (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,89139,,,
Bronco Benny,01/01/2014,,,,16173109,9.78E+12,1,"Chesterfield, Cornelius (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,89140,,,
The blues in the mud,01/01/2014,,,,16521753,9.78E+12,1,"Chesterfield, Cornelius (Fictitious character) / Comic books, strips, etc. / Juvenile fiction.",,89141,,,
Violent cases,01/01/1998,,Titan,,12029411,1852869593,1,"Chicago (Ill.) / Comic books, strips, etc. / Fiction.",,89142,,,
The chicken lover's cartoon book,01/01/2010,,Good Life Press,,15692064,9.78E+12,1,Chickens / Caricatures and cartoons.,,89143,,,
Hoffnung's little ones.,01/01/2001,,Hoffnung Partnership,,9501920,1903643066,1,"Child rearing / German wit and humor, pictorial.",,89145,,,
The least among us,01/01/2006,,Ascendant,,13633436,9.78E+12,1,"Child sexual abuse by clergy / Comic books, strips, etc. / Fiction.",,89146,,,
The Kids are alright,01/01/1986,,Sphere,,8775228,722148666,1,Children,,89147,,,
After all we've done!,01/01/1984,,Hardy,,9440219,744400481,1,Children,,89148,,,
Thelwell's brat race.,01/01/1977,,Eyre Methuen,,11963011,413453901,1,Children / Caricatures and cartoons.,,89155,,,
Just kids,01/01/2014,,,,16662841,9.78E+12,1,Children / Caricatures and cartoons.,,89156,,,
Alice,01/01/1998,,Simon Henwood,,5609051,1902053028,1,"Children / Comic books, strips, etc.",,89157,,,
Fun to learn :friends ... special.,01/01/2003,,Redan,,7211600,,1,"Children / Comic books, strips, etc. / Periodicals.",,89158,,,
U.B.O.S. :the ultimate book of spells.,01/01/2002,,Pedigree,,7886212,,1,"Children / Comic books, strips, etc. / Periodicals.",,89159,,,
The dead boy detectives,01/01/2008,,[Titan],,14657318,9.78E+12,1,"Children / Crimes against / Comic books, strips, etc. / Fiction.",,89160,,,
"The Timber Wharves gang :a graphic novel featuring a series of short comics, stories and illustratios created by over 40 talented young people at Timber Wharves",01/01/2014,,,,13821833,9.78E+12,1,"Children / England / London / Comic books, strips, etc.",,89161,,,
Vanston Place :the secret adventures,01/01/2014,,,,13821841,9.78E+12,1,"Children / England / London / Comic books, strips, etc.",,89162,,,
Poulbot of Montmartre :artist and philanthropist,01/01/2006,,Sterling Press,,13632533,9.78E+12,1,Children / France / Caricatures and cartoons.,,89163,,,
Akira.,01/01/2001,,Dark Horse Comics,,10761712,1840233974,1,"Children / Japan / Tokyo / Comic books, strips, etc. / Fiction.",,89165,,,
Totally ...,01/01/2010,,Titan,,15509753,,1,Children / Periodicals.,,89167,,,
Kidstuff,01/01/1980,,ITV Books in association with Joseph,,12022236,900727780,1,Children / Quotations.,,89169,,,
The second kidstuff,01/01/1981,,ITV Books in association with Joseph,,12022242,900727861,1,Children / Quotations.,,89170,,,
Talking to strangers :a collection of stories,01/01/2009,,Sweatdrop,,15446005,9.78E+12,1,"Children and strangers / Comic book, strips, etc.",,89171,,,
Confessions of a blabbermouth,01/01/2007,,Titan,,13818518,9.78E+12,1,"Children of divorced parents / Comic books, strips, etc. / Fiction.",,89172,,,
Asterix and the falling sky,01/01/2006,,Orion Books,,13475590,9.78E+12,1,"Children stories / Comic books, strips, etc.",,89174,,,
Ma Dalton,01/01/1980,,Hodder Dargaud,,10688225,340253428,1,"Children's literature, French.",,89175,,,
The history of girls' comics,01/01/2010,,Remember When,,15572871,9.78E+12,1,"Children's periodicals, English / History.",,89179,,,
I can't sleep.,01/01/1989,,Walker,,9441273,744520614,1,Children's stories,,89180,,,
The road to Greyfriars,01/01/1984,,Howard Baker,,11983522,703002627,1,Children's stories,,89181,,,
Derek Dungbeetle gets the blues,01/01/1998,,Mammoth,,10716362,749730692,1,"Children's stories / Comic books, strips, etc,.",,89182,,,
Disney's Atlantis :the lost empire.,01/01/2001,,Egmont Children's,,6907919,749746173,1,"Children's stories / Comic books, strips, etc.",,89183,,,
Toy story 2.,01/01/2000,,Egmont,,7722169,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89184,,,
Lucy Goose and friends,01/01/1988,,Aurum,,7748987,948149892,1,"Children's stories / Comic books, strips, etc.",,89185,,,
Abracadabra,01/01/2001,,A. & C. Black,,8080992,713659130,1,"Children's stories / Comic books, strips, etc.",,89186,,,
The hound of the Baskervilles,01/01/2001,,Hodder & Stoughton Educational,,9748288,340782595,1,"Children's stories / Comic books, strips, etc.",,89187,,,
The new Asterix,01/01/2001,,Orion,,10734356,752846574,1,"Children's stories / Comic books, strips, etc.",,89188,,,
Thunderbirds,01/01/2002,,Carlton,,10771195,1842227319,1,"Children's stories / Comic books, strips, etc.",,89189,,,
Treasure Island,01/01/2001,,Hodder & Stoughton Educational,,10973263,340782609,1,"Children's stories / Comic books, strips, etc.",,89191,,,
A Christmas carol,01/01/2001,,Hodder & Stoughton,,10973264,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89192,,,
Frankenstein,01/01/2001,,Hodder & Stoughton Educational,,10973265,340782625,1,"Children's stories / Comic books, strips, etc.",,89193,,,
Dr Jekyll and Mr Hyde,01/01/2003,,Hodder & Stoughton,,10974826,340871598,1,"Children's stories / Comic books, strips, etc.",,89194,,,
Super champion.,01/01/2000,,BBC Children's,,12265944,563475676,1,"Children's stories / Comic books, strips, etc.",,89195,,,
N-Zone,01/01/2004,,"Marvel,.",,13226312,1904159931,1,"Children's stories / Comic books, strips, etc.",,89196,,,
Yakari and Great Eagle,01/01/2005,,Cinebook,,13274878,190546004X,1,"Children's stories / Comic books, strips, etc.",,89200,,,
The laughing thief,01/01/2005,,Cinebook,,13274880,1905460074,1,"Children's stories / Comic books, strips, etc.",,89201,,,
"Babymouse, queen of the world",01/01/2006,,HarperCollins Children's,,13332137,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89202,,,
"Babymouse, our hero",01/01/2006,,HarperCollins Children's,,13332138,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89203,,,
One piece,01/01/2006,,Gollancz Manga,,13348563,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89204,,,
Moving targets,01/01/2006,,Titan,,13366265,1845762347,1,"Children's stories / Comic books, strips, etc.",,89205,,,
Asterix and the actress,01/01/2005,,Hachette,,13387942,,1,"Children's stories / Comic books, strips, etc.",,89209,,,
Mermaid to measure,01/01/2006,,Titan,,13432128,184576224X,1,"Children's stories / Comic books, strips, etc.",,89211,,,
Rupert collectors' limited edition facsimile annual 1958.,01/01/2006,,Express Newspapers,,13490313,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89212,,,
"Babymouse, rock star",01/01/2007,,HarperCollins Children's,,13507318,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89213,,,
Here bygynneth Chaucer's Canterbury tales,01/01/2006,,Walker,,13517313,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89216,,,
Boffin Boy and the Wizard of Edo,01/01/2006,,Ransom,,13522840,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89217,,,
The fairies of Efteling.,01/01/1999,,Intes International,,10993785,953317838,1,Children's stories.,,90229,,,
Boffin Boy and the monsters from the deep,01/01/2006,,Ransom,,13522841,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89218,,,
Scooby-Doo and the scary school,01/01/2006,,Titan,,13522908,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89219,,,
Yakari and the grizzly,01/01/2006,,Cinebook,,13532468,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89220,,,
Romeo and Juliet,01/01/2007,,SelfMadeHero,,13567865,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89221,,,
Hamlet,01/01/2007,,SelfMadeHero,,13567866,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89222,,,
The yellow 'M',01/01/2007,,Cinebook,,13568238,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89223,,,
Albion,01/01/2007,,DC Comics,,13573384,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89224,,,
Tag & Bink were here,01/01/2006,,[Titan],,13573386,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89226,,,
In the shadow of the derricks,01/01/2007,,Cinebook,,13584840,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89227,,,
Hocus pocus,01/01/2007,,Cinebook,,13584841,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89228,,,
The great cow race,01/01/2007,,HarperCollins Children's,,13601376,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89230,,,
Ducoboo :[king of the dunces],01/01/2006,,Cinebook Ltd.,,13623714,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89231,,,
Queen Bee,01/01/2007,,Scholastic,,13699246,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89234,,,
In the corner!,01/01/2007,,Cinebook,,13700043,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89235,,,
Black moon,01/01/2007,,Cinebook,,13700044,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89236,,,
Plots in space,01/01/2007,,Titan,,13705029,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89237,,,
Barbed wire on the prairie,01/01/2007,,Cinebook,,13736606,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89239,,,
Dracula,01/01/2007,,Book House,,13741642,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89240,,,
The man in the iron mask,01/01/2007,,Book House,,13741643,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89241,,,
Eyes of the storm,01/01/2007,,HarperCollins Children's,,13761012,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89243,,,
The flames of battle,01/01/2007,,Panini,,13762057,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89244,,,
In the grip of the Goblin,01/01/2007,,Panini,,13762058,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89245,,,
"God loves, man kills",01/01/2007,,Panini,,13762059,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89246,,,
Creepy creatures :3 ghoulish tales,01/01/2007,,Scholastic,,13767558,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89247,,,
Asterix and the class act,01/01/2005,,Hachette,,13387947,,1,Children's stories.,,90291,,,
Point Blanc :the graphic novel,01/01/2007,,Walker,,13767773,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89248,,,
Artemis Fowl,01/01/2007,,Puffin,,13789006,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89249,,,
The flying fiend!,01/01/2007,,Panini,,13790063,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89250,,,
Doomsday!,01/01/2007,,Panini,,13790064,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89251,,,
Reptilian rampage!,01/01/2007,,Panini,,13790065,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89252,,,
Halloween,01/01/2007,,Cinebook,,13790171,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89254,,,
Terror trips,01/01/2007,,Scholastic,,13806042,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89255,,,
Yakari and the stranger,01/01/2007,,Cinebook,,13811698,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89256,,,
The mystery of the great pyramid.,01/01/2007,,Cinebook,,13811700,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89258,,,
Boffin Boy and the temples of Mars,01/01/2007,,Ransom,,13824325,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89259,,,
Boffin Boy and the rock men,01/01/2007,,Ransom,,13824326,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89260,,,
Boffin Boy and the deadly swarm,01/01/2007,,Ransom,,13824327,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89261,,,
Boffin Boy and the ice caves of Pluto,01/01/2007,,Ransom,,13824328,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89262,,,
Boffin Boy and the forest of the ninja,01/01/2007,,Ransom,,13824329,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89263,,,
Boffin Boy and the quest for wisdom,01/01/2007,,Ransom,,13824330,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89264,,,
Beowulf,01/01/2007,,Candlewick,,13888665,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89265,,,
Thirteen candles,01/01/2008,,A. & C. Black,,13950456,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89266,,,
Roy Kane TV detective,01/01/2008,,A. & C. Black,,13950457,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89267,,,
The mystery of the great pyramid,01/01/2008,,Cinebook,,13950979,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89269,,,
Atalanta :the race against destiny,01/01/2008,,Lerner,,14051905,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89270,,,
Demeter and Persephone :spring held hostage,01/01/2008,,Lerner,,14051906,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89271,,,
Hercules :the twelve labours,01/01/2008,,Lerner,,14051907,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89272,,,
Isis and Osiris :to the ends of the earth,01/01/2008,,Lerner,,14051908,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89273,,,
Jason :quest for the golden fleece,01/01/2008,,Lerner,,14051909,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89274,,,
King Arthur :Excalibur unsheathed,01/01/2008,,Lerner,,14051910,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89275,,,
The wagon train,01/01/2008,,Cinebook,,14200602,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89276,,,
William Shakespeare's Macbeth,01/01/2008,,Book House,,14276803,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89278,,,
The wicked wiles of Iznogoud,01/01/2008,,Cinebook,,14464715,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89279,,,
The vampire from the marshes,01/01/2008,,Cinebook,,14464716,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89280,,,
Rush hour!,01/01/2008,,Panini,,14470101,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89281,,,
Man or monster?,01/01/2008,,Panini Books,,14470102,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89282,,,
Enter the dragon.,01/01/2008,,Panini Books,,14470103,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89283,,,
The spider slayer,01/01/2008,,Panini,,14487999,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89284,,,
Tortillas for the Daltons,01/01/2008,,Cinebook,,14493954,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89285,,,
Imhotep's transformation,01/01/2008,,Cinebook,,14493955,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89286,,,
Cast away,01/01/2008,,A. & C. Black,,14500185,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89287,,,
My brother's a keeper,01/01/2000,,A. & C. Black,,14500187,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89289,,,
Hit it!,01/01/2008,,A. & C. Black,,14500188,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89290,,,
King Pong,01/01/2008,,Walker,,14500405,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89291,,,
The monster unleashed,01/01/2008,,Panini,,14500672,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89292,,,
Robert Louis Stevenson's strange case of Dr Jekyll and Mr Hyde,01/01/2008,,Barrington Stoke,,14508443,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89293,,,
Jade,01/01/2008,,Cinebook,,14514464,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89294,,,
Jane Eyre :the graphic novel : original text version,01/01/2008,,Classical Comics,,14531567,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89295,,,
Jane Eyre :the graphic novel : quick text version,01/01/2008,,Classical Comics,,14531568,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89296,,,
The Black Island,01/01/2008,,Egmont,,14543018,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89298,,,
The blue lotus,01/01/2008,,Egmont,,14543019,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89299,,,
Cigars of the pharaoh,01/01/2008,,Egmont,,14543020,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89300,,,
Tintin in America,01/01/2008,,Egmont,,14543021,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89301,,,
King Ottokar's sceptre,01/01/2008,,Egmont,,14543022,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89302,,,
Your answers or your life!,01/01/2008,,Cinebook,,14543673,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89303,,,
Western circus,01/01/2008,,Cinebook,,14543674,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89304,,,
Great expectations :the graphic novel,01/01/2009,,Classical,,14576115,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89305,,,
The prey and the ghost,01/01/2008,,Cinebook,,14590261,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89308,,,
The Three Musketeers,01/01/2008,,Book House,,14602422,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89309,,,
Macbeth,01/01/2008,,Book House,,14605501,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89311,,,
The rivals of Painful Gulch,01/01/2008,,Cinebook,,14615264,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89312,,,
The Caliph's vacation,01/01/2008,,Cinebook,,14615265,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89313,,,
Romeo and Smurfette,01/01/1979,,Hodder and Stoughton,,6724623,340241322,1,Collections,,90454,,,
Frankenstein :the graphic novel : original text,01/01/2008,,Classical,,14627586,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89314,,,
Frankenstein :the graphic novel : quick text,01/01/2008,,Classical Comics,,14627587,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89315,,,
The Francis Blake affair,01/01/2008,,Cinebook,,14634138,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89316,,,
Robertsonville Prison,01/01/2008,,Cinebook,,14641737,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89318,,,
Terror in Ghost Mansion,01/01/2009,,Lerner,,14647608,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89321,,,
The treasure of Mount Fate,01/01/2008,,Lerner,,14647609,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89322,,,
Silverfin :the graphic novel,01/01/2008,,Puffin,,14661822,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89323,,,
The vampires' ball,01/01/2008,,Cinebook,,14663003,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89325,,,
A tale of two cities,01/01/2008,,Book House,,14675259,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89326,,,
The listener,01/01/2008,,A. & C. Black,,14685665,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89328,,,
Moving the goalposts,01/01/2008,,A. & C. Black,,14685666,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89329,,,
Yakari in the land of wolves,01/01/2008,,Cinebook,,14686513,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89330,,,
A Christmas carol :the graphic novel,01/01/2008,,Classical Comics,,14686547,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89332,,,
The dashing white cowboy,01/01/2008,,Cinebook,,14755062,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89334,,,
Landslide,01/01/2009,,Scholastic,,14765971,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89335,,,
Glacial chase,01/01/2009,,Scholastic,,14765972,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89336,,,
Alien rescue,01/01/2009,,Scholastic,,14765973,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89337,,,
Lost underground,01/01/2009,,Scholastic,,14771727,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89339,,,
Washed away,01/01/2007,,Scholastic,,14771728,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89340,,,
Planet of secrets,01/01/2009,,Scholastic,,14771731,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89341,,,
Silent planet,01/01/2009,,Scholastic,,14771732,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89342,,,
Gold team,01/01/2009,,Scholastic,,14771733,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89343,,,
Trouble on Nova,01/01/2009,,Scholastic,,14771734,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89344,,,
Planetfall,01/01/2009,,Scholastic,,14771735,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89345,,,
Peace force,01/01/2009,,Scholastic,,14771736,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89346,,,
Space-skipper,01/01/2009,,Scholastic,,14771737,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89347,,,
Team song,01/01/2009,,Scholastic,,14771738,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89348,,,
Jonnie Rocket,01/01/2000,,Pichola Associates?],,14775370,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89349,,,
Planet of fire,01/01/2009,,Scholastic,,14777499,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89350,,,
Drowned planet,01/01/2009,,Scholastic,,14777500,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89351,,,
Planet of winds,01/01/2009,,Scholastic,,14777501,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89352,,,
Planet of bones,01/01/2009,,Scholastic,,14777502,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89353,,,
Fog planet,01/01/2009,,Scholastic,,14777503,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89354,,,
Monster planet,01/01/2009,,Scholastic,,14777504,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89355,,,
Airways,01/01/2009,,Scholastic,,14777507,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89356,,,
Adrift in space,01/01/2009,,Scholastic,,14777508,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89357,,,
Crash course,01/01/2009,,Titan Books,,14778087,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89358,,,
The Daltons in the blizzard,01/01/2009,,Cinebook,,14789129,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89359,,,
Malevolence and mandrake,01/01/2009,,Cinebook,,14789130,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89360,,,
Iznogoud and the day of misrule,01/01/2009,,Cinebook,,14837393,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89361,,,
The Navy blues,01/01/2009,,Cinebook,,14837396,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89362,,,
Hamlet :Prince of Denmark,01/01/2009,,Book House,,14853240,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89363,,,
Wuthering Heights,01/01/2009,,Book House,,14853241,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89364,,,
The black hills,01/01/2009,,Cinebook,,14878239,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89365,,,
Great expectations,01/01/2009,,Evans,,14883346,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89368,,,
Oliver Twist,01/01/2009,,Evans Bros.,,14883347,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89369,,,
Henry VIII,01/01/2009,,SelfMadeHero in association with Historic Royal Palaces,,14884083,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89370,,,
Beowulf :monster slayer,01/01/2009,,Lerner,,14889064,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89372,,,
Odysseus :escaping the Poseidon's curse,01/01/2009,,Lerner,,14889065,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89373,,,
Perseus :the hunt for the Medusa's head,01/01/2009,,Lerner,,14889066,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89374,,,
Sinbad :sailing into peril,01/01/2009,,Lerner,,14889067,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89375,,,
Theseus :battling the Minotaur,01/01/2009,,Lerner,,14889068,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89376,,,
Beyond the farthest star,01/01/2009,,Panini,,14889570,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89377,,,
The rookie,01/01/2009,,Panini,,14889571,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89378,,,
"The lion king ;and, The Lion King II, Simba's pride.",01/01/2009,,Panini,,14889573,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89379,,,
Black Beauty,01/01/2009,,Raintree,,14915765,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89380,,,
The Hunchback of Notre Dame,01/01/2009,,Raintree,,14915766,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89381,,,
King Arthur and the knights of the Round Table,01/01/2009,,Raintree,,14915767,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89382,,,
Robin Hood,01/01/2009,,Raintree,,14915768,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89383,,,
Robert Louis Stevenson's Treasure Island,01/01/2009,,Raintree,,14915769,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89384,,,
Mary Shelley's Frankenstein,01/01/2009,,Raintree,,14915770,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89385,,,
"Jules Verne's 20,000 leagues under the sea",01/01/2009,,Raintree,,14915771,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89386,,,
Bram Stoker's Dracula,01/01/2009,,Raintree,,14915772,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89387,,,
Jonathan Swift's Gulliver's travels,01/01/2009,,Raintree,,14915773,9.78E+12,1,"Children's stories / Comic books, strips, etc.",,89388,,,
